DC_gain,Peak_gain,eye_height,eye_width
-10.0,2.0,0.0014,4.000000e-11
-10.0,2.5,0.0037,5.600000e-11
-10.0,3.0,0.0428,1.040000e-10
-10.0,3.5,0.0441,1.040000e-10
-10.0,4.0,0.0456,1.040000e-10
-10.0,4.5,0.0474,1.040000e-10
-10.0,5.0,0.0495,1.040000e-10
-10.0,5.5,0.0729,1.120000e-10
-10.0,6.0,0.0779,1.120000e-10
-10.0,6.5,0.0829,1.120000e-10
-10.0,7.0,0.0881,1.120000e-10
-10.0,7.5,0.0935,1.120000e-10
-10.0,8.0,0.0989,1.120000e-10
-10.0,8.5,0.1049,1.120000e-10
-10.0,9.0,0.1119,1.120000e-10
-10.0,9.5,0.0852,9.600000e-11
-10.0,10.0,0.0899,9.600000e-11
-9.5,2.0,0.0015,4.000000e-11
-9.5,2.5,0.0039,5.600000e-11
-9.5,3.0,0.0454,1.040000e-10
-9.5,3.5,0.0467,1.040000e-10
-9.5,4.0,0.0483,1.040000e-10
-9.5,4.5,0.0502,1.040000e-10
-9.5,5.0,0.0524,1.040000e-10
-9.5,5.5,0.0772,1.120000e-10
-9.5,6.0,0.0826,1.120000e-10
-9.5,6.5,0.0878,1.120000e-10
-9.5,7.0,0.0933,1.120000e-10
-9.5,7.5,0.0991,1.120000e-10
-9.5,8.0,0.1047,1.120000e-10
-9.5,8.5,0.1112,1.120000e-10
-9.5,9.0,0.1186,1.120000e-10
-9.5,9.5,0.0903,9.600000e-11
-9.5,10.0,0.0952,9.600000e-11
-9.0,2.0,0.0016,4.000000e-11
-9.0,2.5,0.0042,5.600000e-11
-9.0,3.0,0.0481,1.040000e-10
-9.0,3.5,0.0494,1.040000e-10
-9.0,4.0,0.0512,1.040000e-10
-9.0,4.5,0.0531,1.040000e-10
-9.0,5.0,0.0555,1.040000e-10
-9.0,5.5,0.0818,1.120000e-10
-9.0,6.0,0.0875,1.120000e-10
-9.0,6.5,0.0930,1.120000e-10
-9.0,7.0,0.0989,1.120000e-10
-9.0,7.5,0.1050,1.120000e-10
-9.0,8.0,0.1109,1.120000e-10
-9.0,8.5,0.1177,1.120000e-10
-9.0,9.0,0.1256,1.120000e-10
-9.0,9.5,0.0956,9.600000e-11
-9.0,10.0,0.1008,9.600000e-11
-8.5,2.0,0.0016,4.000000e-11
-8.5,2.5,0.0044,5.600000e-11
-8.5,3.0,0.0509,1.040000e-10
-8.5,3.5,0.0524,1.040000e-10
-8.5,4.0,0.0542,1.040000e-10
-8.5,4.5,0.0563,1.040000e-10
-8.5,5.0,0.0588,1.040000e-10
-8.5,5.5,0.0867,1.120000e-10
-8.5,6.0,0.0926,1.120000e-10
-8.5,6.5,0.0985,1.120000e-10
-8.5,7.0,0.1047,1.120000e-10
-8.5,7.5,0.1112,1.120000e-10
-8.5,8.0,0.1175,1.120000e-10
-8.5,8.5,0.1247,1.120000e-10
-8.5,9.0,0.1330,1.120000e-10
-8.5,9.5,0.1013,9.600000e-11
-8.5,10.0,0.1068,9.600000e-11
-8.0,2.0,0.0017,4.000000e-11
-8.0,2.5,0.0047,5.600000e-11
-8.0,3.0,0.0539,1.040000e-10
-8.0,3.5,0.0555,1.040000e-10
-8.0,4.0,0.0574,1.040000e-10
-8.0,4.5,0.0596,1.040000e-10
-8.0,5.0,0.0623,1.040000e-10
-8.0,5.5,0.0918,1.120000e-10
-8.0,6.0,0.0981,1.120000e-10
-8.0,6.5,0.1043,1.120000e-10
-8.0,7.0,0.1109,1.120000e-10
-8.0,7.5,0.1178,1.120000e-10
-8.0,8.0,0.1244,1.120000e-10
-8.0,8.5,0.1321,1.120000e-10
-8.0,9.0,0.1409,1.120000e-10
-8.0,9.5,0.1073,9.600000e-11
-8.0,10.0,0.1132,9.600000e-11
-7.5,2.0,0.0018,4.000000e-11
-7.5,2.5,0.0050,5.600000e-11
-7.5,3.0,0.0571,1.040000e-10
-7.5,3.5,0.0588,1.040000e-10
-7.5,4.0,0.0608,1.040000e-10
-7.5,4.5,0.0632,1.040000e-10
-7.5,5.0,0.0660,1.040000e-10
-7.5,5.5,0.0972,1.120000e-10
-7.5,6.0,0.1039,1.120000e-10
-7.5,6.5,0.1105,1.120000e-10
-7.5,7.0,0.1175,1.120000e-10
-7.5,7.5,0.1247,1.120000e-10
-7.5,8.0,0.1318,1.120000e-10
-7.5,8.5,0.1399,1.120000e-10
-7.5,9.0,0.1493,1.120000e-10
-7.5,9.5,0.1137,9.600000e-11
-7.5,10.0,0.1199,9.600000e-11
-7.0,2.0,0.0020,4.000000e-11
-7.0,2.5,0.0053,5.600000e-11
-7.0,3.0,0.0605,1.040000e-10
-7.0,3.5,0.0622,1.040000e-10
-7.0,4.0,0.0644,1.040000e-10
-7.0,4.5,0.0669,1.040000e-10
-7.0,5.0,0.0699,1.040000e-10
-7.0,5.5,0.1030,1.120000e-10
-7.0,6.0,0.1101,1.120000e-10
-7.0,6.5,0.1170,1.120000e-10
-7.0,7.0,0.1244,1.120000e-10
-7.0,7.5,0.1321,1.120000e-10
-7.0,8.0,0.1396,1.120000e-10
-7.0,8.5,0.1482,1.120000e-10
-7.0,9.0,0.1581,1.120000e-10
-7.0,9.5,0.1204,9.600000e-11
-7.0,10.0,0.1270,9.600000e-11
-6.5,2.0,0.0021,4.000000e-11
-6.5,2.5,0.0056,5.600000e-11
-6.5,3.0,0.0641,1.040000e-10
-6.5,3.5,0.0659,1.040000e-10
-6.5,4.0,0.0682,1.040000e-10
-6.5,4.5,0.0709,1.040000e-10
-6.5,5.0,0.0741,1.040000e-10
-6.5,5.5,0.1091,1.120000e-10
-6.5,6.0,0.1166,1.120000e-10
-6.5,6.5,0.1240,1.120000e-10
-6.5,7.0,0.1318,1.120000e-10
-6.5,7.5,0.1400,1.120000e-10
-6.5,8.0,0.1479,1.120000e-10
-6.5,8.5,0.1570,1.120000e-10
-6.5,9.0,0.1675,1.120000e-10
-6.5,9.5,0.1275,9.600000e-11
-6.5,10.0,0.1345,9.600000e-11
-6.0,2.0,0.0022,4.000000e-11
-6.0,2.5,0.0059,5.600000e-11
-6.0,3.0,0.0679,1.040000e-10
-6.0,3.5,0.0698,1.040000e-10
-6.0,4.0,0.0723,1.040000e-10
-6.0,4.5,0.0751,1.040000e-10
-6.0,5.0,0.0784,1.040000e-10
-6.0,5.5,0.1156,1.120000e-10
-6.0,6.0,0.1235,1.120000e-10
-6.0,6.5,0.1313,1.120000e-10
-6.0,7.0,0.1396,1.120000e-10
-6.0,7.5,0.1482,1.120000e-10
-6.0,8.0,0.1567,1.120000e-10
-6.0,8.5,0.1663,1.120000e-10
-6.0,9.0,0.1774,1.120000e-10
-6.0,9.5,0.1351,9.600000e-11
-6.0,10.0,0.1425,9.600000e-11
-5.5,2.0,0.0023,4.000000e-11
-5.5,2.5,0.0062,5.600000e-11
-5.5,3.0,0.0719,1.040000e-10
-5.5,3.5,0.0740,1.040000e-10
-5.5,4.0,0.0765,1.040000e-10
-5.5,4.5,0.0795,1.040000e-10
-5.5,5.0,0.0831,1.040000e-10
-5.5,5.5,0.1224,1.120000e-10
-5.5,6.0,0.1309,1.120000e-10
-5.5,6.5,0.1391,1.120000e-10
-5.5,7.0,0.1479,1.120000e-10
-5.5,7.5,0.1570,1.120000e-10
-5.5,8.0,0.1660,1.120000e-10
-5.5,8.5,0.1762,1.120000e-10
-5.5,9.0,0.1879,1.120000e-10
-5.5,9.5,0.1431,9.600000e-11
-5.5,10.0,0.1509,9.600000e-11
-5.0,2.0,0.0025,4.000000e-11
-5.0,2.5,0.0066,5.600000e-11
-5.0,3.0,0.0762,1.040000e-10
-5.0,3.5,0.0783,1.040000e-10
-5.0,4.0,0.0811,1.040000e-10
-5.0,4.5,0.0842,1.040000e-10
-5.0,5.0,0.0880,1.040000e-10
-5.0,5.5,0.1297,1.120000e-10
-5.0,6.0,0.1386,1.120000e-10
-5.0,6.5,0.1473,1.120000e-10
-5.0,7.0,0.1567,1.120000e-10
-5.0,7.5,0.1663,1.120000e-10
-5.0,8.0,0.1758,1.120000e-10
-5.0,8.5,0.1866,1.120000e-10
-5.0,9.0,0.1991,1.120000e-10
-5.0,9.5,0.1516,9.600000e-11
-5.0,10.0,0.1598,9.600000e-11
-4.5,2.0,0.0026,4.000000e-11
-4.5,2.5,0.0070,5.600000e-11
-4.5,3.0,0.0807,1.040000e-10
-4.5,3.5,0.0830,1.040000e-10
-4.5,4.0,0.0859,1.040000e-10
-4.5,4.5,0.0892,1.040000e-10
-4.5,5.0,0.0932,1.040000e-10
-4.5,5.5,0.1374,1.120000e-10
-4.5,6.0,0.1468,1.120000e-10
-4.5,6.5,0.1561,1.120000e-10
-4.5,7.0,0.1660,1.120000e-10
-4.5,7.5,0.1762,1.120000e-10
-4.5,8.0,0.1862,1.120000e-10
-4.5,8.5,0.1977,1.120000e-10
-4.5,9.0,0.2109,1.120000e-10
-4.5,9.5,0.1606,9.600000e-11
-4.5,10.0,0.1693,9.600000e-11
-4.0,2.0,0.0028,4.000000e-11
-4.0,2.5,0.0074,5.600000e-11
-4.0,3.0,0.0855,1.040000e-10
-4.0,3.5,0.0879,1.040000e-10
-4.0,4.0,0.0910,1.040000e-10
-4.0,4.5,0.0945,1.040000e-10
-4.0,5.0,0.0988,1.040000e-10
-4.0,5.5,0.1455,1.120000e-10
-4.0,6.0,0.1555,1.120000e-10
-4.0,6.5,0.1653,1.120000e-10
-4.0,7.0,0.1758,1.120000e-10
-4.0,7.5,0.1866,1.120000e-10
-4.0,8.0,0.1972,1.120000e-10
-4.0,8.5,0.2094,1.120000e-10
-4.0,9.0,0.2234,1.120000e-10
-4.0,9.5,0.1701,9.600000e-11
-4.0,10.0,0.1793,9.600000e-11
